ym,ccode,gen_share,load_share
2020-04-01,EE,0.05651361111111111,0.02374625
2020-04-01,ES,0.05061555555555555,0.05232763888888889
2020-04-01,FI,0.04492972222222222,0.03548194444444444
2020-04-01,FR,0.02335472222222222,0.027732777777777776
2020-04-01,GR,0.03634305555555555,0.02716111111111111
2020-04-01,HR,0.08284347222222223,0.0429125
2020-04-01,HU,NA,NA
2020-04-01,IE,NA,NA
2020-04-01,IT,0.044920555555555554,0.04458388888888889
2020-04-01,LT,0.06808541666666666,0.02444
2020-04-01,LU,0.0795775,0.020770243055555554
2020-04-01,LV,NA,NA
2020-04-01,NL,0.012080138888888889,0.009191805555555555
2020-04-01,NO,0.09770194444444444,0.11202055555555555
2020-04-01,PL,0.015701388888888886,0.013702222222222222
2020-04-01,PT,0.07206152777777777,0.06597
2020-04-01,RO,0.048544166666666666,0.0479
2020-04-01,SE,0.06644083333333334,0.08123222222222222
2020-04-01,SI,0.030027222222222223,0.03384472222222222
2020-04-01,SK,NA,NA
2020-05-01,AT,NA,0.0956359879032258
2020-05-01,BE,0.023413575268817204,0.026443145161290323
2020-05-01,BG,0.025487231182795698,0.027114919354838708
2020-05-01,CZ,0.014331854838709676,0.01702983870967742
2020-05-01,DE,0.05559815188172043,0.0535192876344086
2020-05-01,DK,0.07430322580645161,0.06322002688172043
2020-05-01,EE,0.05029274193548387,0.022016935483870965
2020-05-01,ES,NA,NA
2020-05-01,FI,0.05061008064516129,0.03895618279569892
2020-05-01,FR,0.0285002688172043,0.034549462365591393
2020-05-01,GR,0.032686559139784944,0.023136962365591398
2020-05-01,HR,0.07072069892473118,0.04794206989247311
2020-05-01,HU,0.015319354838709677,0.011571807795698923
2020-05-01,IE,NA,NA
2020-05-01,IT,0.051453629032258065,0.04978064516129032
2020-05-01,LT,0.058896639784946234,0.020561021505376344
2020-05-01,LU,0.07855873655913978,0.0194133064516129
2020-05-01,LV,0.05952365591397849,0.045449596774193544
2020-05-01,NL,0.01022768817204301,0.00895295698924731
2020-05-01,NO,0.09807661290322581,0.11596075268817205
2020-05-01,PL,0.015518548387096773,0.01321290322580645
2020-05-01,PT,0.062159139784946235,0.05328118279569893
2020-05-01,RO,0.04839744623655914,0.045074596774193544
