Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
01.1. Disolventes usados;Vertido;PELIGROSO;2016;12
01.1. Disolventes usados;Vertido;PELIGROSO;2015;4.280
01.1. Disolventes usados;Vertido;PELIGROSO;2014;8.662
01.1. Disolventes usados;Vertido;PELIGROSO;2013;8.002
01.1. Disolventes usados;Vertido;PELIGROSO;2012;6.355
01.1. Disolventes usados;Vertido;PELIGROSO;2011;3.950
01.1. Disolventes usados;Vertido;PELIGROSO;2010;6.288
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2020;5
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2019;392
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2018;9
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2017;16
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2016;12
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2015;4.280
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2014;8.662
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2013;8.002
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2012;6.355
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2011;3.950
01.1. Disolventes usados;Vertido;TOTAL GENERAL;2010;6.288
01.1. Disolventes usados;Incineración;NO PELIGROSO;2020;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2019;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2018;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2017;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2016;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2015;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2014;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2013;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2012;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2011;..
01.1. Disolventes usados;Incineración;NO PELIGROSO;2010;0
01.1. Disolventes usados;Incineración;PELIGROSO;2020;13.920
01.1. Disolventes usados;Incineración;PELIGROSO;2019;21.893
